name,dft_gibbs_free_energy_ev,dft_electronic_energy_ev,dft_entropy_ev,dft_enthalpy_ev,dft_dipole_moment_d,dft_homo_ev,dft_lumo_ev,dft_gap_ev,hf_gibbs_free_energy_ev,hf_electronic_energy_ev,hf_entropy_ev,hf_enthalpy_ev,hf_dipole_moment_d,hf_homo_ev,hf_lumo_ev,hf_gap_ev,mass_au
27,-58558.1490509986,-58571.5342951203,3.148421838334,-58555.0006291603,2.26772,-6.7332,-1.5578,5.1754,-57837.7682321496,-57853.079412359,3.07106363773,-57834.6971685119,1.05138,-9.2853,4.0046,13.2899,594.55
28,-58557.8707137514,-58571.1184812544,3.257264989308,-58554.6134487621,1.19945,-6.3008,-1.4116,4.8892,-57837.5048973636,-57852.7216553755,3.173607621718,-57834.3312897419,1.52203,-8.8206,4.1288,12.9494,594.55
29,-51910.4035920787,-51922.2144577951,2.90627412047,-51907.4973179582,0.32708,-6.3898,-1.2839,5.1059,-51262.6037420824,-51276.0510981295,2.751718538636,-51259.8520235438,0.36099,-8.8203,4.31,13.1303,534.51
30,-58558.0632972647,-58571.4203302397,3.167767238936,-58554.8955300258,2.0399,-6.6195,-1.653,4.9665,-57837.6987130091,-57852.9912006194,3.077121439598,-57834.6215915695,0.9619,-9.1142,3.9639,13.0781,594.55
dimer_001338,-16917.5734807179,-16925.5787521429,1.79146796128,-16915.7820130288,2.0877,-6.9556,0.481,7.4366,-16699.0042336031,-16708.5422622365,1.732033637742,-16697.2721999653,3.45035,-9.9329,10.7715,20.7044,200.32
dimer_001340,-15834.6756532542,-15843.3269012739,1.798428093172,-15832.877225161,2.46352,-6.0297,0.7147,6.7444,-15625.0777998175,-15635.4038553565,1.730149248292,-15623.3476505692,3.06803,-8.9498,10.5538,19.5036,198.35
dimer_001341,-16916.8952254163,-16924.9237307508,1.759008570676,-16915.1362168456,1.69245,-6.5637,0.8982,7.4619,-16698.9724621167,-16708.4900253282,1.728173156424,-16697.2442889602,2.33111,-9.8554,10.885,20.7404,200.32
dimer_001343,-14897.6946937199,-14905.93390019,1.622493602814,-14896.0722003892,0.21855,-6.5401,0.39,6.9301,-14700.613584954,-14710.492824679,1.568487681462,-14699.0450972725,0.36662,-9.4272,6.8611,16.2883,192.35
dimer_001346,-14897.734585088,-14905.9365241853,1.662437761102,-14896.0721473269,0.3225,-6.5263,0.2353,6.7616,-14700.6496718963,-14710.4784363791,1.617039621912,-14699.0326322744,0.49217,-9.4584,6.9578,16.4162,192.35
dimer_001350,-14963.0217327322,-14972.5252273779,1.701008832146,-14961.3207241722,0.05112,-8.1728,0.5607,8.7335,-14764.1386646498,-14775.5511010474,1.630534571514,-14762.5081300783,0.01833,-11.6911,13.7587,25.4498,196.38
dimer_001351,-16918.9990018807,-16927.2099680878,1.661234745108,-16917.3377674077,2.99649,-6.4615,0.6296,7.0911,-16702.4091680573,-16712.1362729267,1.662924573048,-16700.7462437564,3.50589,-9.954,11.9999,21.9539,200.32
dimer_001352,-16918.6831071871,-16926.9013023748,1.671734535912,-16917.0113726512,1.54457,-6.5008,0.6928,7.1936,-16702.1352385127,-16711.9233883484,1.62464167073,-16700.510596842,1.99786,-10.0895,12.2061,22.2956,200.32
dimer_001355,-16919.2936485526,-16927.5372823175,1.656381319804,-16917.6372675049,3.04693,-7.0906,0.2932,7.3838,-16702.0809618379,-16711.8627880164,1.643742168732,-16700.4372196692,1.98961,-10.8073,13.0184,23.8257,200.32
dimer_001359,-14961.6349157042,-14970.9316322818,1.80855808105,-14959.8263576232,0.05971,-6.901,0.6565,7.5575,-14761.3564794113,-14772.4361043322,1.790943869716,-14759.5655355416,0.17696,-10.2445,11.1883,21.4328,196.38
dimer_001360,-16917.6367259981,-16925.6172244365,1.80457569266,-16915.8321503054,2.30215,-6.8096,0.4046,7.2142,-16699.3406661008,-16708.9131566117,1.706730573224,-16697.6339357997,3.98871,-9.2269,10.5392,19.7661,200.32
dimer_001361,-16917.5673973374,-16925.6033585955,1.764579288484,-16915.802818321,2.26654,-6.5893,0.4428,7.0321,-16699.1640099641,-16708.7147645529,1.720748798048,-16697.4432611661,3.21317,-9.8731,10.6108,20.4839,200.32
dimer_001363,-15834.6257167977,-15843.2739092493,1.791419524988,-15832.8342972727,2.4274,-5.7343,0.6246,6.3589,-15625.1499941107,-15635.4370396588,1.758846662846,-15623.3911474479,2.72415,-8.794,10.7354,19.5294,198.35
dimer_001717,-16917.4083039825,-16925.5417345706,1.717802075542,-16915.6905019069,2.14288,-7.4059,0.4998,7.9057,-16699.7470400599,-16709.4080957865,1.703026285342,-16698.0440137746,3.3087,-11.015,12.5935,23.6085,200.32
dimer_001720,-14961.5468416543,-14970.9189561233,1.771186488518,-14959.7756554379,0.23674,-7.673,0.6474,8.3204,-14762.1063488592,-14773.3360841076,1.734150956776,-14760.3721979024,0.20579,-11.0278,13.177,24.2048,196.38
dimer_001721,-16917.6184325902,-16925.7170285046,1.737330064638,-16915.8811025255,3.85262,-6.4749,0.6449,7.1198,-16700.289609253,-16709.9318213572,1.693438348552,-16698.5961709044,3.9707,-10.0292,10.6584,20.6876,200.32
dimer_001722,-16917.1786996315,-16925.3186454452,1.71039159498,-16915.4683080366,0.62857,-6.7211,0.816,7.5371,-16699.960804927,-16709.6100816549,1.70797114095,-16698.2528337861,4.59784,-10.3649,10.7673,21.1322,200.32
